year,position,team,total_points
2023 Constructor Standings,5,Aston Martin Aramco Mercedes,280
year,position,team,total_points
2023 Constructor Standings,6,Alpine Renault,120
year,position,team,total_points
1994 Constructor Standings,2,Benetton Ford,103
year,position,team,total_points
1994 Constructor Standings,3,Ferrari,71
year,position,team,total_points
1994 Constructor Standings,4,McLaren Peugeot,42
year,position,team,total_points
2023 Constructor Standings,7,Williams Mercedes,28
year,position,team,total_points
2023 Constructor Standings,8,AlphaTauri Honda RBPT,25
year,position,team,total_points
2023 Constructor Standings,9,Alfa Romeo Ferrari,16
year,position,team,total_points
1994 Constructor Standings,5,Jordan Hart,28
year,position,team,total_points
1994 Constructor Standings,6,Ligier Renault,13
year,position,team,total_points
2023 Constructor Standings,10,Haas Ferrari,12
year,position,team,total_points
1994 Constructor Standings,6,Tyrrell Yamaha,13
year,position,team,total_points
1994 Constructor Standings,8,Sauber Mercedes,12
year,position,team,total_points
1994 Constructor Standings,9,Footwork Ford,9
year,position,team,total_points
1994 Constructor Standings,10,Minardi Ford,5
year,position,team,total_points
1994 Constructor Standings,11,Larrousse Ford,2
year,position,team,total_points
1988 Constructor Standings,1,McLaren Honda,199
year,position,team,total_points
1988 Constructor Standings,2,Ferrari,65
year,position,team,total_points
1988 Constructor Standings,3,Benetton Ford,39
year,position,team,total_points
1988 Constructor Standings,4,Arrows Megatron,23
year,position,team,total_points
1988 Constructor Standings,5,Lotus Honda,23
year,position,team,total_points
1988 Constructor Standings,6,March Judd,22
year,position,team,total_points
1988 Constructor Standings,7,Williams Judd,20
year,position,team,total_points
1988 Constructor Standings,8,Tyrrell Ford,5
year,position,team,total_points
1988 Constructor Standings,9,Rial Ford,3
year,position,team,total_points
1988 Constructor Standings,10,Minardi Ford,1
year,position,team,total_points
1992 Constructor Standings,1,Williams Renault,164
year,position,team,total_points
1992 Constructor Standings,2,McLaren Honda,99
year,position,team,total_points
1992 Constructor Standings,3,Benetton Ford,91
year,position,team,total_points
1992 Constructor Standings,4,Ferrari,21
year,position,team,total_points
1992 Constructor Standings,5,Lotus Ford,13
year,position,team,total_points
1992 Constructor Standings,6,Tyrrell Ilmor,8
year,position,team,total_points
1992 Constructor Standings,7,Footwork Mugen Honda,6
year,position,team,total_points
1992 Constructor Standings,8,Ligier Renault,6
year,position,team,total_points
1992 Constructor Standings,9,March Ilmor,3
year,position,team,total_points
1992 Constructor Standings,10,Dallara Ferrari,2
year,position,team,total_points
1992 Constructor Standings,11,Jordan Yamaha,1
year,position,team,total_points
1992 Constructor Standings,12,Minardi Lamborghini,1
year,position,team,total_points
1992 Constructor Standings,13,Venturi Lamborghini,1
year,position,team,total_points
1990 Constructor Standings,1,McLaren Honda,121
year,position,team,total_points
1990 Constructor Standings,2,Ferrari,110
year,position,team,total_points
1990 Constructor Standings,3,Benetton Ford,71
year,position,team,total_points
1990 Constructor Standings,4,Williams Renault,57
year,position,team,total_points
1990 Constructor Standings,5,Tyrrell Ford,16
year,position,team,total_points
1990 Constructor Standings,6,Lola Lamborghini,11
year,position,team,total_points
1990 Constructor Standings,7,Leyton House Judd,7
year,position,team,total_points
1990 Constructor Standings,8,Lotus Lamborghini,3
year,position,team,total_points
1990 Constructor Standings,9,Arrows Ford,2
year,position,team,total_points
1990 Constructor Standings,10,Brabham Judd,2
year,position,team,total_points
1991 Constructor Standings,1,McLaren Honda,139
year,position,team,total_points
1991 Constructor Standings,2,Williams Renault,125
year,position,team,total_points
1991 Constructor Standings,3,Ferrari,55.5
year,position,team,total_points
1991 Constructor Standings,4,Benetton Ford,38.5
year,position,team,total_points
1991 Constructor Standings,5,Jordan Ford,13
year,position,team,total_points
1991 Constructor Standings,6,Tyrrell Honda,12
year,position,team,total_points
1991 Constructor Standings,7,Minardi Ferrari,6
year,position,team,total_points
1991 Constructor Standings,8,Dallara Judd,5
year,position,team,total_points
1991 Constructor Standings,9,Lotus Judd,3
year,position,team,total_points
1991 Constructor Standings,9,Brabham Yamaha,3
year,position,team,total_points
1991 Constructor Standings,11,Lola Ford,2
year,position,team,total_points
1991 Constructor Standings,12,Leyton House Ilmor,1
year,position,team,total_points
1989 Constructor Standings,1,McLaren Honda,141
year,position,team,total_points
1989 Constructor Standings,2,Williams Renault,77
year,position,team,total_points
1989 Constructor Standings,3,Ferrari,59
year,position,team,total_points
1989 Constructor Standings,4,Benetton Ford,39
year,position,team,total_points
1989 Constructor Standings,5,Tyrrell Ford,16
year,position,team,total_points
1989 Constructor Standings,6,Lotus Judd,15
year,position,team,total_points
1989 Constructor Standings,7,Arrows Ford,13
year,position,team,total_points
1989 Constructor Standings,8,Dallara Ford,8
year,position,team,total_points
1989 Constructor Standings,8,Brabham Judd,8
year,position,team,total_points
1989 Constructor Standings,10,Onyx Ford,6
year,position,team,total_points
1989 Constructor Standings,10,Minardi Ford,6
year,position,team,total_points
